time_s,Vmem_mV,Goldman_Vmem_mV,NaK-ATPase_Rate_mol/m2s,cell_sodium_mmol/L,cell_potassium_mmol/L,cell_proteins_mmol/L,cell_anion_mmol/L,Dm_sodium_m2/s,Dm_potassium_m2/s,Dm_proteins_m2/s,Dm_anion_m2/s,I_A/m2,HydroP_Pa,OsmoP_Pa,Displacement_um
1.002865329512894104e-03,-4.505105222424784728e+01,0.000000000000000000e+00,1.110720637661186762e-07,1.191169213653338765e+01,1.390841366867184092e+02,1.350000000000000000e+02,1.600795830005959175e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,6.695449762128111002e-13,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.005730659025788207e-03,-4.464853880421893706e+01,0.000000000000000000e+00,1.110734911258082278e-07,1.191179074581138408e+01,1.390841478925443653e+02,1.350000000000000000e+02,1.600795974306230463e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,7.400896636101136788e-13,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.008595988538682094e-03,-4.420090564872232619e+01,0.000000000000000000e+00,1.110750980884506001e-07,1.191190198947175105e+01,1.390841586627518325e+02,1.350000000000000000e+02,1.600796123685989159e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,8.267681410064459355e-13,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.011461318051576415e-03,-4.369783144105686290e+01,0.000000000000000000e+00,1.110769251877941546e-07,1.191202873582513178e+01,1.390841689142146720e+02,1.350000000000000000e+02,1.600796278774129178e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,9.338637833606953049e-13,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.014326647564470302e-03,-4.312542941980004940e+01,0.000000000000000000e+00,1.110790263472975373e-07,1.191217483468492055e+01,1.390841785438086617e+02,1.350000000000000000e+02,1.600796440354511674e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,1.069125846547291514e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.017191977077364189e-03,-4.246412453782898666e+01,0.000000000000000000e+00,1.110814770469086817e-07,1.191234569817581246e+01,1.390841874197600703e+02,1.350000000000000000e+02,1.600796609426642192e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,1.244719329497509415e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.020057306590258075e-03,-4.168520584121391437e+01,0.000000000000000000e+00,1.110843871635713049e-07,1.191254924403264503e+01,1.390841953675495404e+02,1.350000000000000000e+02,1.600796787302707358e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,1.480572607418724125e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.022922636103152830e-03,-4.074446565420859656e+01,0.000000000000000000e+00,1.110879244313457158e-07,1.191279763402926761e+01,1.390842021456777786e+02,1.350000000000000000e+02,1.600796975769421238e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,1.811371607844174448e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.025787965616045849e-03,-3.956949964470335601e+01,0.000000000000000000e+00,1.110923607867345862e-07,1.191311074107907864e+01,1.390842074007574922e+02,1.350000000000000000e+02,1.600797177376169600e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,2.302290631657893381e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.002865329512894060e-02,-3.803178569269389442e+01,0.000000000000000000e+00,1.110981729437375823e-07,1.191352376410888247e+01,1.390842105756623255e+02,1.350000000000000000e+02,1.600797395992975325e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,3.088426028705005906e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.103151862464183536e-02,-3.587731383527716389e+01,0.000000000000000000e+00,1.111062882822930012e-07,1.191410613245174943e+01,1.390842106942824898e+02,1.350000000000000000e+02,1.600797638016542734e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,4.487867494190956644e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.203438395415472838e-02,-3.252626016191184988e+01,0.000000000000000000e+00,1.111187817833707354e-07,1.191501608795032929e+01,1.390842057451083633e+02,1.350000000000000000e+02,1.600797915389359716e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,7.378565096516845970e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.303724928366762313e-02,-2.641657774620498955e+01,0.000000000000000000e+00,1.111411423923068578e-07,1.191667995723255657e+01,1.390841902305798499e+02,1.350000000000000000e+02,1.600798254704253409e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,1.448536007774622431e-11,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.404011461318051615e-02,-1.395633701650797498e+01,0.000000000000000000e+00,1.111869807730800841e-07,1.192009226150785395e+01,1.390841374239584809e+02,1.350000000000000000e+02,1.600798726842623765e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,2.781055859520439596e-11,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.504297994269341091e-02,-1.033220461206933782e+00,0.000000000000000000e+00,1.112434810727837512e-07,1.192387879326398448e+01,1.390838374802175679e+02,1.350000000000000000e+02,1.600799445618767791e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,1.301999172794021826e-11,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.604584527220630566e-02,2.179529012232646334e-01,0.000000000000000000e+00,1.112649066086556154e-07,1.192519782195994260e+01,1.390828639648552780e+02,1.350000000000000000e+02,1.600800310550745920e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-4.199196892182842659e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.704871060171920041e-02,-4.224536460099009183e+00,0.000000000000000000e+00,1.112705125672034710e-07,1.192555199854918691e+01,1.390813219765022097e+02,1.350000000000000000e+02,1.600801138282517755e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-9.657415883864640071e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.805157593123209170e-02,-1.002841053759934198e+01,0.000000000000000000e+00,1.112727774036880063e-07,1.192571148884812793e+01,1.390796071154995275e+02,1.350000000000000000e+02,1.600801863835417649e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-1.018464485343505983e-11,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.905444126074498645e-02,-1.545179145808450372e+01,0.000000000000000000e+00,1.112748179709463435e-07,1.192586711786058729e+01,1.390779975139468263e+02,1.350000000000000000e+02,1.600802484864756536e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-8.862728424154598433e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.005730659025788121e-02,-1.998157867392701803e+01,0.000000000000000000e+00,1.112773890217571722e-07,1.192606243904275232e+01,1.390765879422209821e+02,1.350000000000000000e+02,1.600803019112703751e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-7.236121929799515544e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.106017191977077596e-02,-2.365876438777995716e+01,0.000000000000000000e+00,1.112804294970073771e-07,1.192628900659167535e+01,1.390753760011536997e+02,1.350000000000000000e+02,1.600803485749971244e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-5.880923708844915529e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.206303724928367072e-02,-2.667734049781646988e+01,0.000000000000000000e+00,1.112836145374738066e-07,1.192652311098841977e+01,1.390743333196897140e+02,1.350000000000000000e+02,1.600803899727504387e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-4.880451048309903270e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.306590257879656200e-02,-2.921842470220594379e+01,0.000000000000000000e+00,1.112866501272564004e-07,1.192674469515679192e+01,1.390734312966592938e+02,1.350000000000000000e+02,1.600804271606088847e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-4.159486624600978403e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.406876790830945675e-02,-3.141221103781371227e+01,0.000000000000000000e+00,1.112893617784513736e-07,1.192694232845082603e+01,1.390726463831174158e+02,1.350000000000000000e+02,1.600804608751071711e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-3.627994247489870149e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.507163323782235151e-02,-3.334426400631894438e+01,0.000000000000000000e+00,1.112916799125446610e-07,1.192711173989074780e+01,1.390719598656325502e+02,1.350000000000000000e+02,1.600804916446963944e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-3.218683682880964775e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.607449856733524626e-02,-3.506948530831538591e+01,0.000000000000000000e+00,1.112936025291191443e-07,1.192725315335486158e+01,1.390713567783435565e+02,1.350000000000000000e+02,1.600805198660517092e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-2.887840545021848002e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.707736389684814102e-02,-3.662353496845319256e+01,0.000000000000000000e+00,1.112951639122532937e-07,1.192736915153493982e+01,1.390708249687275497e+02,1.350000000000000000e+02,1.600805458513704949e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-2.608745695936759289e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.808022922636103230e-02,-3.803053553316868118e+01,0.000000000000000000e+00,1.112964137094357492e-07,1.192746327468781509e+01,1.390703544274108765e+02,1.350000000000000000e+02,1.600805698566619384e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-2.365630442890213145e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.908309455587392706e-02,-3.930787651403494465e+01,0.000000000000000000e+00,1.112974044543759522e-07,1.192753919740904500e+01,1.390699368195299712e+02,1.350000000000000000e+02,1.600805920985018460e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-2.149366594514884392e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.008595988538682181e-02,-4.046905089431516700e+01,0.000000000000000000e+00,1.112981849615900249e-07,1.192760030129207749e+01,1.390695651493759897e+02,1.350000000000000000e+02,1.600806127640401044e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-1.954645763160933399e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.108882521489971656e-02,-4.152524331329097151e+01,0.000000000000000000e+00,1.112987974746726986e-07,1.192764949741229863e+01,1.390692335109278019e+02,1.350000000000000000e+02,1.600806320171716379e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-1.778241487185987976e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.209169054441261132e-02,-4.248617312211106167e+01,0.000000000000000000e+00,1.112992770060194613e-07,1.192768919246686110e+01,1.390689368951322251e+02,1.350000000000000000e+02,1.600806500025694135e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-1.618004403214206450e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.309455587392550607e-02,-4.336052140608482119e+01,0.000000000000000000e+00,1.112996518050930922e-07,1.192772132733257173e+01,1.390686710366605041e+02,1.350000000000000000e+02,1.600806668485357420e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-1.472321002066032116e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.409742120343840083e-02,-4.415614242356060259e+01,0.000000000000000000e+00,1.112999442959673600e-07,1.192774744450513857e+01,1.390684322897596985e+02,1.350000000000000000e+02,1.600806826691847817e+01,2.000000000000000143e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-1.339844483315530610e-12,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
