hcn2,cx43,fidelity,vmem
0.8,0.5,67.6923076923077,-43.0
0.8,0.75,67.6923076923077,-43.0
0.8,1.0,67.6923076923077,-43.0
0.8,1.5,67.6923076923077,-43.0
0.8,2.0,67.6923076923077,-43.0
1.0,0.5,67.6923076923077,-43.0
1.0,0.75,67.6923076923077,-43.0
1.0,1.0,67.6923076923077,-43.0
1.0,1.5,67.6923076923077,-43.0
1.0,2.0,67.6923076923077,-43.0
1.2,0.5,67.6923076923077,-43.0
1.2,0.75,67.6923076923077,-43.0
1.2,1.0,67.6923076923077,-43.0
1.2,1.5,67.6923076923077,-43.0
1.2,2.0,67.6923076923077,-43.0
1.4,0.5,67.6923076923077,-43.0
1.4,0.75,67.6923076923077,-43.0
1.4,1.0,67.6923076923077,-43.0
1.4,1.5,67.6923076923077,-43.0
1.4,2.0,67.6923076923077,-43.0
1.6,0.5,67.6923076923077,-43.0
1.6,0.75,67.6923076923077,-43.0
1.6,1.0,67.6923076923077,-43.0
1.6,1.5,67.6923076923077,-43.0
1.6,2.0,67.6923076923077,-43.0
